序号	语料
887		 ꀑꀉꁁ /v 歇斯特利/n ꆅ  /n ꀋꇎ/c ꀂꏾ /n ...ꅉ  /n ꌋꐊꄜ  /n ꀊ /u ꌸꃚ /n ꆅ /n ，/w ꇬꑌ /c ꀉꉙꀉꇨ/a ꈝꐮ /a ；/w ꀉꄂꀒ/c ꀂ(ꃶ)ꊈ/r {ꆅ}ꌒ /vu ꀉꉙꀋꎪꃅ/d ꅉꐚ/v ꈍꃅ/r ...ꅉ /v ꄚ/r ꇗ /q ꀑꀉꁁ /v ꀊ /u ꆅꉚꆄꇜ /v ；/w  [ꅽ] /r ꀉꇨ/vu {ꃰꃅ}ꂱꈈꀋꎪ /v 布鲁尔/nh ꀨꌧ  /n ꀊ /u ꁒꐀ/v ꆹ /k ，/w ꋌ/r ꀊ /u ꆅ ...ꄯꒉ /n ...ꌠꌡ ꄚ /r ，/w ꀋꃅꄉ/c ꀊꄶ{ꄷ}ꈨ/r ꂶꋽ /a ꀊ /u {ꆄ}ꄻ (ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /n ꂯ/d {ꌬ}ꐓ /vu ꁰꇽ/v ꀒ/vl 歇斯特利/n ꆅ /n 。/w 
888		  [ꅽ] /r ꀨꆷꀋꐥ /a ，/w ꀉꁁ(ꃶ)ꊈ/r ꀐꍰ/d ꀞ/vu ꀨꆷꀋꐥ /a 。/w 
889		 ꃆꏂꊀ/nt  [ꅽ] /r ꀋꃉꀋꄸꄷ/c ꀋꂿꑘ /vu {ꁨꑟ}ꌸ /p {ꀋꉊꃀꂽ}ꍆꅉ/u ꋯꏤ  /v ꀊ /u ꃅꑍꃅꉖ /n ꃄꄟ ...ꑘ /v ꇔꅲ  /v ，/w ꋒꃅ(ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /n ꀐꍰ/d ꀞ/vu (ꅇ)ꉉ/v 『/w ꀊꀒ /e ，/w ꀂ(ꃶ)ꊈ/r ꀋꎺ  /v ꀐ/u ，/w 』/w ꀋꋌꉬ /c (ꅇ)ꉉ/v 『/w ꄺꀱ /v ꁧ /v ꀁꋌ/nd ꀉꁁꋍꑵ/m ꂘ/n {ꑳ}ꏶ/u 。/w 
890		 {ꃷꋪꈴꄉ}ꏤꄉꌠ ...ꌠꌡ /v ：/w ꀮ/v ꀐ/u  [ꅽ] /r ꀉꁁꂿꃅ/nt │/w ꀱ {ꋍꑍ...}ꆏ/vd ꆂ  /m {ꄷ}ꈨ/q ꃰꇌꈭ /nt ꀐ/u │/w ꆏ /v ꀐ/u ꀉꁁꋍꑵꀞꀉꑳ/nt 。/w 
891		 ꃹ/p 读懂/v 读通/v ꀐ/u ꄚꈨ/r ꌐꁨꁱꇐ  /n ꈭꐨ/nt ，/w ꀉꄂꀋꂿꑘ /vu ꑌꑲ  /v ꄉꊨꏦ/r ꀊ /u {ꑍ}ꃅ...ꅉ /n ꃆꐚꌠ /a ，/w {ꎆꃀ}ꃸꅐ/v nirꀞꋒꃅ/n ꀞꃅꄉ/n {ꋍꑍ...}ꆏ/vd ꉉꀽ  /v  [ꅽ] /r ꀊ /u {ꑍ}ꃅ...ꅉ /n ...ꀠ  /n ꀊ /u nirꀞ/n ꃅꈧ  /v ，/w {ꎆꃀ}ꃸꅐ/v nirꀞꋒꃅ/n ꀊ /u ꏡꁈ  /n {ꋍꑍ...}ꆏ/vd ꇕꄟ  /v {ꑍ}ꃅ...ꅉ /n ...ꀠ /n ꀊ /u nirꀞ/n ꃅꈧ /v ，/w ꋍꃅ /r ，/w ꀉꄂ/d ꀉꇨ/vu ꀀꂿꄐ/a ꃄꁕ/u ꀍꉀꎆ /v {ꑍ}ꃅ...ꅉ /n ꃅꊌꐨ  /n ꀋꇎ/c ꀋꄶꀋꆠ {ꉪ}ꉚ  /n ，/w (ꎆꃀ)ꋊ;(ꎐ)ꆜ;ꌵ(ꀁꋌꎼꇁ);(ꈩꌒ)ꃼ;ꎹ;ꊌ(ꅜ);(ꂒ)ꋉ;ꈁꉆ {ꀋ}ꉆ/v ꀊꅰ/d ꀉꇨ/a ꀊ /u {ꑍ}ꃅ...ꅉ /n ꀉꇨꀋꄸꄷ/n 。/w 
892		 ...ꇬꄉ/p ꁱꂷ)ꁱ;ꁰꄟ;ꄯꒉ;ꅇꊪꄯꒉ /n {ꄉ}ꄐ/nd ꀂ(ꃶ)ꊈ/r ꁱꄜꀞ/n ꁧ /v {ꒊꒉ、ꎧꅝꑠꃅ}ꌠꋒꃅ/n ꀒ /c ꇮꁈ /n ꀒ/vl  [ꅽ] /r {ꄉ}ꄐ/nd ꀀ/v ꀂ/r 、/w ꀂ/r {ꄉ}ꄐ/nd ꀀ/v  [ꅽ] /r ꀊ /u ꈐꉈ  /n ꁱꄜ /n 。/w 
893		 ꀀꀨ/p ꀰꏮ /v ꀊ /u ꀉꁁꋍꑵ...ꇰ /n ꀞ/vu ꂿꉂ/v ，/w ꀻ  /p ꄲꃅ/r ꀂ/r ꀉꄂ/d {ꎆ}ꁯ /vu ꄉꄐ  /v  [ꅽ] /r ꀊ /u ꀮ  {ꇗ}ꇱ/v 、/w ꀰꏮ /v ...ꅀ...ꂯ/u ？/w 
894		 {ꃷꋪꈴꄉ}ꏤꄉꌠ...ꌠꌡ /v “ ꎭꄏꌜ
/ns ꀉꁁꋍꑵ/m ꀊꉘ/n {...}ꌠꉨ /c ꃹ /v ...ꇤ  /n ...ꌋꆀꐯꌟ /p ꃺꂿ /n ꐯꀥ /v ，/w ꀉꁁ/r ꃺꂿ/n ꀋꂿꑘ /vu ꆌ/v ꀁꇬ{ꂱꑱ}ꃅꄷ ꀑꑊ /n {ꇁ}ꊯ /a ꀐ/u ꀉꁁꋍꑵ(ꀀ)ꄓ;ꑭꄑ;ꉀꄓ;ꅐ;(ꎸꇺ)ꀖ;(ꃅꆳ)ꁏ;ꉪꄅ;ꋊ;ꄓ;ꄉ;(ꃆꑘ)ꐘ;ꃢ;ꁥ /d ꃹ /v ，/w ꀉꁁ/r ꃹ /v ꀐ/u ꀉꁁꋍꑵ/m ꁍ /q {ꇇ}ꀯ ꀋꂿꑘ /vu ꀋꆏꃅ  /v ...ꈭꐨ/d ꂃ/v ，/w (ꅇ)ꉉ/v ：/w "/w ꀉꉙ/d ꀨꁵ/p ꀂ/r ꂃ/v ꀉꄂ/d ꃚ  /v ꀐ/u  [ꅽ] /r ！/w "/w 
895		 ꀊꅰꃅ/r ꀊꌱ /n ꄡꇝ /d (ꇇ)ꎇ;ꎇꈻ /v {ꃢꈜ}ꈚ/u ꀂꏾ  /n (ꅇ)ꉉ/v ：/w "/w  [ꅽ] /r ꀡꃱ/vu ？/w "/w 
896		 ꀐꍰꀉꄂꀒ(ꅇ)ꉉ/c ，/w ...ꄮ/p  [ꅽ] /r ꃹ/p ꀋꇎ/p ꄚ/r ꀉꁁꋍꑵ/m 类/n ꀑꑊ /n （/w ꀨꎹꇬꊎꄉ ꃹ/v ꁳ  /p  [ꅽ] /r ꀊ /u ꉁꀠ  /n 、/w ꇨꊨ  /n 、/w 同{ꑘ}ꃅ/n ꀒ /c ꄊꀖ  /n ꀊꋨ  {ꄉ}ꄐ/nd ）/w 接触/v ꀋꋌꉬ /c ꀉꁁꋍꑵ(ꀀ)ꄓ;ꑭꄑ;ꉀꄓ;ꅐ;(ꎸꇺ)ꀖ;(ꃅꆳ)ꁏ;ꉪꄅ;ꋊ;ꄓ;ꄉ;(ꃆꑘ)ꐘ;ꃢ;ꁥ /d (ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ 活/v 时/nt ，/w  [ꅽ] /r ꀞ/vu ꀀ {ꀋ}ꉆ/v  [ꅽ] /r ꀒ/vl ꃹ/p ꀉꇨ长/v ꀋꋌꉬ /c ꄉꀂ/r ꃹ/d 形ꀉꇨ/v ；/w ꀊꄸꄷ/c 另/r ꀉꁁꋍꑵ/m 类ꀱ/n ꀊ /u ꀑꑊ /n ꀀꀨ/p 称ꁢꊧ/v "/w ...ꐛꅹꃅꌦ /v 性/k {ꄷ}ꈨ性/n "/w ，/w ꄚ/r ꇗ /q ꀑꑊ /n ꀊ /u 存ꃹ/v {ꂽ}ꏃ/d ꀞ/vu 摧毁/v  [ꅽ] /r ꀊ /u 良好/a ꀊ /u {ꄷ}ꈨ性/n 品ꀋꄶꀋꆠ /n ，/w ꀋꄸꄷ/v  [ꅽ] /r 死气沉沉/a 。/w 
897		 {...}ꌠꉨꄚ /c ，/w ꆼꋏ /v ꀒ /c ꆐꀋꅑ /a ꀊ /u {ꄷ}ꈨ性/n ꀀ关/p ꀊ /u ꌧꅍ /n ，/w ꀉꇨ/vu ꀋꄸꄷ/v  [ꅽ] /r ꀀ效/a ꃄꁕ/u 辨/v {ꉢ}ꐥꂿ 出/v 哪ꈨ/r ꀒ/vl "/w {ꄷ}ꈨ性/n ꀉꇨ长/v ꀊ /u 促进/v ꆹ /k "/w ，/w 并/c ꀮ出/v ꀋꇈ /v ꀉꁁ(ꃶ)ꊈ/r ꀊ /u ...ꇰ 式/n ...ꇰ 法/n 。/w 
898		 {ꃷꋪꈴꄉ}ꏤꄉꌠ...ꌠꌡ /v ，/w ꀀꀊ ꀑꑊ /n ꀱ/p  [ꅽ] /r ꒈꌠꀕ /v ，/w ꄚ/r {ꆅ}ꌒ {ꌬ}ꐓ /vu ꄜꅍ  /v {ꃢꈜ}ꈚ/u ꀉꁁ/r ꀱ/p  [ꅽ] /r ꁌꒉ  /a 、/w ꀀ/v ꄸꈴ /n ，/w ꀐꍰ/d {ꆅ}ꌒ {ꌬ}ꐓ /vu ꄜꅍ  /v {ꃢꈜ}ꈚ/u ꀉꁁ/r ꃹ/p 内nir/n ꒊ /v {ꃢꈜ}ꈚ/u  [ꅽ] /r ꀊ /u ꀑꀋꁮ /a ，/w ......ꄷꀋꁧ......ꑌ /d {ꇇ}ꀯ /d {ꆅ}ꌒ {ꌬ}ꐓ /vu ꃹ/p /v ꀊ /u ꈢꅵ  /nl ，/w ꃹ/d ꉌꉅ(ꈻ)ꃴꆅ  /v  [ꅽ] /r 、/w /v  [ꅽ] /r 。/w 
899		 ...ꄮ/p  [ꅽ] /r ꂿꉂ /v /n {ꄉ}ꄐ/nd ꀊ /u /n /nt ，/w /n ꀉꄂ/d ꀞ/vu ꀉꉙ ꄉ/i ꀊ /u /v ddor  {ꋍꑍ...}ꆏ/vd 。/w 
900		 ...ꌠꌡ ꀋꄸꄷ  /c ꀂ(ꃶ)ꊈ/r ꄈꅉ  /v ꃹ/p ꈶꇓ  /n ger /nd (ꅇ)ꉉ/v ：/w “/w ꀂ/r ꃹ/d ꒈꌠꀕ /v ”/w ...ꄮ/p  [ꅽ] /r ꂿꉂ /v ꄉꊨꏦ/r /n ꃹ/p ꒈꌠꀕ /v ꈭꐨ/nt ꀉꄂ/d ꀞ/vu /v /n 。/w 
901		 ...ꌠꌡ ꀋꄸꄷ  /c ꀂ/r (ꅇ)ꉉ/v ：/w “/w ꀂ/r ꐯ/d ꀋꈯꀋꈜ  /a ”/w 同时/c ꂿꉂ象/v ꄉꊨꏦ/r ꃹ/p 冰天雪ꃄꁕ/i {ꂱꑱ}ꃅꄷ/nd 颤抖/v ꀊ /u ꃆꂮ  /n ，/w  [ꅽ] /r ꀊ /u 身上/nl ꀉꄂ/d ꀞ/vu ꁖꇁ  /v “/w ꃬꄃꄲ /n ”/w ，/w ꄚ/r (ꅇ)ꉉ明/v  [ꅽ] /r ꀊ /u 体表/n ꊷꈻꐨ  /n ꃹ/d ꀁꋌꊰ  /v 。/w 
902		  [ꅽ] /r 只ꀉꄉ /v 利ꀉꁁ/v ，/w ꀉꁁ/r ꀉꉙ/d 利/v  [ꅽ] /r 咋办/v ：/w 咋办/v ？/w 
903		  [ꅽ] /r 利ꀉꁁ/v ，/w ꀉꁁ/r ꀉꉙ/d 利/v  [ꅽ] /r ，/w ꀉꉙ/d 利/v 又/d 待/v ꇿ妨/d ？/w 
904		 ꋍꃅ /r ꀊ /u ꀑꑊ /n ，/w ꀻ /p  [ꅽ] /r ꁓꐒ  /n ...ꌠꌡ ꇿ/r ，/w /d ꁢꊧ/vl ꀑꑊ /n 。/w 
905		 {ꀋꉊꃀꂽ}ꍆꅉ以/c ，/w /v  [ꅽ] /r ꈍꃅ/r ꀊ /u 科ꋒꃅꀁꇬ/n ꑲꆏ/vu {ꀋ}ꉆ/v ꀐ/u /a ꀊ /u ꋒꃅ/n ꀉꇨ/n ，/w ꀉꄂ/d ꀞ/vu ꁧ /v/n ꀊ /u /v ，/w ꀋꇎ/c ꀑꑊ /n ꀊ /u /v 。/w 
906		  [ꅽ] /r (ꅇ)ꉉ(ꅇ)ꉉ/v ，/w 感情/n ꀊ /u ꂄꄸ/n ꇬꑌ/c ꀉꉙ/d ꆌꁳ ꁴ/v ꁱꈜ /n ꀊ /u ꂄꄸ/n ，/w ꂯ/d ꀒ /p ꁱꈜ /n ꀊ /u ꂄꄸ/n ꀀ关/v ，/w ꇬꑌ/c ꀉꉙ/d 属ꁳ ꁴ/v 政治/n ꀊ /u ꂄꄸ/n ，/w 又/d ꀒ /p 政治/n ꀊ /u ꂄꄸ/n ꀀ关/v ，/w ꇬꑌ/c ꀉꉙ/d ꆌꁳ ꁴ/v 科ꋒꃅ/n ꀊ /u ꂄꄸ/n ，/w 却/d 又/d ꀒ /p 科ꋒꃅ/n ꀊ /u ꂄꄸ/n ꀀ关/v 。/w 
907		 ꀱ/p ꀋ/v ꆹ /k /v /n ，/w ꅉꀕ/d ꀉꉙ/i ，/w  [ꅽ] /r (ꅇ)ꉉ/v  [ꅽ] /r ꀊ /u ，/w ꀉꁁ/r 干/v ꀉꁁ/r ꀊ /u 。/w 
908		 ꀉꁁ/r ꀋꂿꑘ /vu ꆌ/v  [ꅽ] /r ꄉꀀ /a ，/w /v  [ꅽ] /r ꀀ/v /n nir/n ，/w ꀉꉙ ꀊꅰꃅ /i ꃄꁕ/u ꁳ /p  [ꅽ] /r ꁁꏯꉉ /v ２４/m (ꁍꃀꀿꃀ)ꁌꒉ;ꌦꏹ;ꌦꎭꃢ;ꑪ/n ，/w ......ꄷꀋꁧ......ꑌ /d ꁧ /nl /v ꄉꊨꏦ/r ꀊ /u /n ，/w ꀥ ꁧ /v ꀊꄶ{ꂱꑱ}ꃅꄷ/r ，/w ꁁꏯꉉꁧ /v ꀊꄶ{ꂱꑱ}ꃅꄷ/r ，/w /n /d /a ，/w /n /m /q ꀉꉙ /a ，/w (ꋠ)ꋓ;ꋒ ꀁꋌ/v ꀉꁁꋍꑵ/m /q ，/w ꁏ ꀉꇨ/v ꉈꃚꑓꄜ /a 。/w 
909		 {ꄉ}ꄐ国ꀑꑊ /n ꀉꉙꀉꄉ /c ꄣ /r ꄚ/r ꀉꁁꋍꑵ/mq ，/w ꑲꆏ/vu ꀑꑊ /n ꃹ /v ，/w ꀋꋌꉬ ꆹ /v /n /v /v ，/w ꀉꄂ/d /p /v ꆹ /k /v ；/w ꀋꋌꉬ ꆹ /v  [ꅽ] /r /v ꀂ/r ꀨꁵ/v ，/w ꀋ{ꀋ}ꉆ/vu /v {ꄷ}ꈨ/q ꒈꅐꆏꇉꀊꂥ  /i ꀉꉙ{ꆅ}ꌒ /vu 。/w 
910		 ꄖ...ꁵ  /v {ꏯ}ꀋꋌꀁꑌ /r ，/w ꈍꃅ /r ꄖ...ꁵ  /v ，/w ꄖ...ꁵ  ꁳ /v ꈀꄸ/r ，/w /r ꀀ/v ꀋ/i ，/w ꀉꄂꀒ/d  [ꅽ] /r /v {ꄉ}ꄐ/ns ꀉꇨ/a {ꀋꃋ}ꁵ /n ，/w /v ꀐꍰ/d ꀉꉙꀉꁁꋍꑵ定/d {ꌬ}ꐓ /vu /v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq {ꅇꉉ}ꌸ  /n ꀱ {ꋍꑍ...}ꆏ/vd 。/w 
911		  [ꅽ] /r ꀊꆨ  /nt /v {ꏯ}ꀋꋌ/r ，/w ...ꋐ /r ꉁꀠ  /n ꀁꋌ次/n ...ꌠꌡ /d {ꇇ}ꀯ /v 。/w 
912		 {ꆅ}ꄻ (ꀀ)ꄓ;ꑭꄑ;ꉀꄓ;ꅐ;(ꎸꇺ)ꀖ;(ꃅꆳ)ꁏ;ꉪꄅ;ꋊ;ꄓ;ꄉ;(ꃆꑘ)ꐘ;ꃢ;ꁥ {ꋍꑍ...}ꆏ/v ，/w {ꄉ}ꄐꀑꑊ /n ꀋ/d ꀉꉙ/d /v /n /n ꀊ /u ，/w ꀉꉙꀈ꒜/d {ꇇ}ꀯ /v/n ꀊ /u ꃅꑍꃅꉖ /n /a ꀐ/u /n ，/w d ꀨꁵ/p  [ꅽ] /r /n /nd ꀉꉙ/d /v ꎆꇢꑓꃴꃷ  /n /a ꀊ /u ꀑꑊꐥ  /n —/w —/w ꀉꄂꀒ/d ꀀ点/d ꎆꇢꑓꃴꃷ  /n ꀐꍰ/d ꀀ/c ꀈ꒜/p ꀉꇨꃅꌗꈻꌗꋍ  /v 才{ꌬ}ꐓ /c /v/n ꀉꑳ/n {ꋍꑍ...}ꆏ/vd 。/w 
913		 计划(ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /i ，/w ꀋ/v ꋒꃅ/n /v ꀉꉙ...ꑘ /v ，/w ꀋ/v ꋒꃅ/n /v ，/w /d /v ꍔꍞ /n ꄜꉺ  /v ，/w /v  [ꅽ] /r ꄜꉺ  /v ꀉꁁꋍꑵꐥꍂ/nt ，/w ꀉꁁ/r ꀊꄶ/r {ꇇ}ꀯ /d 只ꀉꄉ /v (ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /v 、/w (ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /v 、/w (ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /v 。/w 
914		 ꀊꅰꃅ/nt {ꄷ}ꈨ/q {ꄷ}ꈨ/q ꀉꇨ/v ꀐ/u ꃏꏸꐛꇉ  /n ，/w  [ꅽ] /r (ꅇ)ꉉ/v ꀑꑊ /v ꀉꉙ/v ？/w 
915		 {ꀋꉊꃀꂽ}ꍆꅉ/a ꀋꎪꃅꀋꋪꃅꐙ 性/n ，/w ꀒ/vl (ꅇ)ꉉ/v ꀑꑊ /n /n /n ꀋꍑ/vl /v ꀊ /u ，/w ꀋ/v /n {ꆅ}ꌒ /vu /v ꀊ /u ，/w  [ꅽ] /r ꀋꂿꑘ /vu ꈍꃅ/r ꀉꄂ/d ꈍꃅ/r ；/w {ꀋꉊꃀꂽ}ꍆꅉ/a /n ，/w ꀒ/vl (ꅇ)ꉉ/v ꀑꑊ /n /n ꉘꇉꐨ /n ...ꅉ ꁢꊧ/v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꀊꆨꁱꅇ /n /n ，/w ꄣ /r ꀀ/v {ꃰꃅ}ꂱꈈꀱ/a /n ，/w ...ꌠꌡ /c ...ꋐ /n /nt ꀊ /u ꉘꇉꐨ /n ，/w ꇬꑌ/c ꀀ/v /nt /n 之/u ꀉꁁ /v ，/w ꀉꄂ/c ꀉꇨ/n ꀉꇨ/vu ...ꅉ /v /n /n ꀊ /u /n ；/w {ꀋꉊꃀꂽ}ꍆꅉ/a ꀉꉙ{ꆅ}ꌒ /i /k ，/w ꀒ/vl (ꅇ)ꉉ/v /n ...ꌠꌡ /v /n /u /n ，/w ꀋꄸꄷ/c /d ꀋ/v /a nt ，/w ꀐꍰ/d ꀉꉙ/d {ꌬ}ꐓ /vu 发(ꀉꑳ)ꒆ;(ꎇꃀꌺ)ꏃ;(ꐴ)ꅿ;ꐥ(ꏾ);(ꌩꃅ)ꋠꐥ;ꀑꇬ;(ꀋꃋꋋ)ꍂ;ꇫꐥꌠ;(ꆅ)ꊌ;(ꁬꋌ)ꇿ;(ꃆꄔ)ꏦ;ꎸ;ꀉꋒ;ꀋꂔ;ꀉꋒꃅ;(ꌩ)ꋒ;ꂾꋒꃅ;ꏦ /v /v ，/w “/w /ns 之/u /n /n /nd {ꋍꑍ...}ꆏ/vd ，/w /v ꁧ /v /n ꀉꉙ/d ꀱ /v ”/w 。/w 
916		  [ꅽ] /r ꀋꂿꑘ /vu ꀀ/v ꀁꇬ/n ，/w ꀊꄶ/c ，/w /n ꀎꋏ /d 打消/v  [ꅽ] /r ꄚ/r ꉌꂵꈐ  /n ，/w (ꅇ)ꉉꀉꉙ/v {ꇇ}ꀯ ꀋꂿꑘ /v ꀱ/p  [ꅽ] /r /d nir/v ，/w v  [ꅽ] /r ꀋꉊ/v ꆹꐪꁒꐀ/n {ꆄ}ꄻ 院/n 诊/v /v 。/w 
917		 /n ꀉꉙ/d {ꋍꑍ...}ꆏ/vd ꀮ/v  [ꅽ] /r ，/w /v  [ꅽ] /r ꄲꃅ样/r ꀊ /u ꋒꃅꀑꑊ /n 才ꋒꃅ/n ，/w ꀋꋌꉬ ꆹ /c 英雄豪杰/n 。/w 
918		  [ꅽ] /r ꀉꒆꅉ/d ꂿꉂ/v /v ꈀꄸ/r ，/w /d ꀉꉙ{ꀋ}ꉆ/d 碰/v {ꀋ}ꉆꁧ /v 。/w 
919		 {ꉐꀖ}ꀊꌃꌠꀋꄶꀋꆠ /n /a ꀐ/u ，/w {ꆅ}ꌒ {ꌬ}ꐓ /vu ꀉꁁꋍꑵꂃ/r /d /v ，/w {ꉐꀖ}ꀊꌃꌠꀋꄶꀋꆠ /n /d /a ，/w ꀋꎪꃅꀋꋪꃅꐙ /d /v /n /a ꀊ /u /n ，/w ꀋꄸꄷ/v  [ꅽ] /r /v ꊋꋠ  /a ，/w ꀉꁁꋍꑵ/m /n ꀐꍰ/d /v ꀉꉙ/d /v 。/w 
920		 {ꆅ}ꌒ /vu  [ꅽ] /r ꀉꉙ/d ꀨꁵ/p ꀉꁁ/r /v/n ，/w ꀉꁁ/r ...ꌠꌡ 丧考妣/i 。/w 
921		 ꃄꁕ(ꅇ)ꉉ/c ，/w ...ꋐ {ꋍꑍ...}ꆏ/d ꃹ /v /n ꀉꇨ/vu 止渴/v ，/w ꀉꄂ/c {...}ꌠꉨ/c /v ꀊ /u /n ，/w  [ꅽ] /r /d /d /v {ꃢꈜ}ꈚ/u /n ，/w ꀐꍰ/d ꄡꇝ /d ꀉꇨ/vu 止渴/v 。/w 
922		  [ꅽ] /r /v /v ꄉꊨꏦ/r /d /v ꀊ /u ꀒ/vl ꄲꃅ/r ？/w 
923		 ꀋꋌꉬ ꀋꇈ/d  [ꅽ] /r {ꀋꉊꃀꂽ}ꍆꅉ/u 怕/v ꀊ /u ...ꀠ /n ，/w /d ꀋ/d {ꆅ}ꌒ /i ꀐ/u 。/w 
924		 ...ꌠꌡ /v  [ꅽ] /r ꂿ /v /n ꀊꄸꄷ/c /v ，/w ꀂ/r ꂿ /v  [ꅽ] /r /v ꀊꄸꄷ/c /d /v ，/w /p ...ꑘ ꁢꊧ/n /n ꆹ /k {ꆅ}ꄻ {ꋍꑍ...}ꆏ/v ，/w ꄚ/r ꀋꍑ/v ꁳ ꁴ/c ꋒꃅ /v ...ꋐ {ꌬ}ꐓ /n ，/w /d ꀒ/vl /v ꀱ/v ꀊ /u ꀉꁁꋍꑵ{ꄷ}ꈨ/mq {ꃷꋪꈴꄉ}ꏤꄉꌠ/n 。/w 
925		 ꀋꃋ ꃹ/nt ꂿ /v  [ꅽ] /r /v ꀐ/u ，/w ꀂ/r /v ꀉꉙ/d ꀒ/vl ꋒꃅ /v  [ꅽ] /r ꀊ /u ，/w ꀒ/d /p  [ꅽ] /r ꀊ /u /v ꁢꊧ/vl ꀀ/v 险/n ꃹ/v ꀊ /u /n {ꑳ}ꏶ/u ꀐ/u 。/w 
926		 ꀊꆠꌠꀋꄸꄷ/c ꀑꑊ /n /d ꀀ/v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꋒꃅ /v ...ꋐ {ꌬ}ꐓ /n ，/w ꇿ以/r  [ꅽ] /r ꀊ /u ...ꄮ/v ꀱ/p  [ꅽ] /r 打/v 供/v ...ꅉ v ，/w  [ꅽ] /r ꀋ/v /p ꀉꁁ/r 打/v 供/v ...ꅉ 揖/v ...ꅀ...ꂯ/u ？/w 
927		 ꀀ/d  [ꅽ] /r /c /v ꀊꄶꈨ/r /d /v ꁧ /v ꄚ{ꄷ}ꈨ/r /nt ꀊ /u ꅿꁮ  /n ，/w {ꎆꃀ}ꃸꅐ/p /n ꀋꇈ /p ꄣ /r ꀉꇨ/v /a ꀊ /u ꃰꇌꋍ /n ，/w ꀋꋌꉬ ꆹ /c ꃀꅉ /d ꀋꇈ /p ꄣ /r ꂃꀉꇨ/v /m /q ，/w ꄣ /r ꀐꍰ/d {ꌬ}ꐓ 够/vu 改正/v ꄣ /r 发展/v ꀊ /u 历程/n ꀊꄸꄷ/c 长ꀉꇨ/v ꀉꁁꋍꑵ/m ꇗ /q ꄣ /r {ꀋꉊꃀꂽ}ꍆꅉ/u ꀱꀀ/v ꀊ /u 体/n 状/n 。/w 
